Source	Target	Label
/BD_1	/R_108	a-circio
/BD_1	/R_108	a-occident
/BD_1	/R_3	prope
/BD_109	/L_206	transeundo per medium
/BD_1	/BD_2	a-meridie
/BD_10	/BD_9	a-meridie
/BD_10	/R_54	a-orient
/BD_10	/R_54	a-circio
/BD_10	/R_39	a-occident
/BD_100	/BD_99	a-occident
/BD_100	/R_12	a-meridie
/BD_100	/BD_448	a-circio
/BD_100	/BD_101	a-orient
/BD_101	/BD_100	a-occident
/BD_101	/R_12	a-meridie
/BD_101	/BD_448	a-circio
/BD_101	/BD_136	a-orient
/BD_102	/R_8	in
/BD_102	/R_8	a-occident
/BD_102	/RN_00131	a-circio
/BD_103	/BD_192	a-orient
/BD_103	/BD_193	a-meridie
/BD_103	/R_14	in
/BD_103	/R_14	a-orient
/BD_103	/BD_126	a-circio
/BD_103	/BND_830	a-occident
/BD_103	/BD_104	a-meridie
/BD_104	/R_14	in
/BD_104	/BD_103	a-circio
/BD_104	/R_14	a-orient
/BD_104	/R_96	a-meridie
/BD_104	/BND_831	a-occident
/BD_105	/R_5	in
/BD_105	/E_157	a-orient
/BD_105	/BD_106	a-meridie
/BD_106	/BD_105	a-circio
/BD_106	/E_157	a-orient
/BD_106	/R_109	a-meridie
/BD_106	/BND_832	a-occident
/BD_107	/BND_833	a-orient
/BD_107	/R_8	a-orient
/BD_107	/E_157	a-circio
/BD_107	/R_7	in medio
/BD_107	/BD_108	a-occident
/BD_107	/BD_108	a-meridie
/BD_108	/R_7	a-orient
/BD_108	/BD_107	a-orient
/BD_108	/E_157	a-circio
/BD_108	/BND_834	a-meridie
/BD_108	/BD_109	a-occident
/BD_109	/BD_107	a-circio
/BD_109	/BD_108	a-circio
/BD_109	/BD_110	a-occident
/BD_109	/R_8	a-orient
/BD_111	/L_206	subtus
/BD_109	/BND_835	a-meridie
/BD_11	/R_54	a-orient
/BD_11	/R_54	a-circio
/BD_11	/R_54	a-occident
/BD_11	/BD_12	a-meridie
/BD_110	/BD_109	a-orient
/BD_110	/E_157	a-circio
/BD_110	/BD_111	a-occident
/BD_110	/BD_111	a-meridie
/BD_111	/R_15	in
/BD_111	/L_206	a-orient
/BD_1	/L_223	a-orient
/BD_111	/R_15	a-meridie
/BD_111	/BD_112	a-circio
/BD_111	/BD_112	a-occident
/BD_112	/BD_111	a-orient
/BD_112	/R_15	a-meridie
/BD_112	/E_119	a-circio
/BD_112	/BD_113	a-occident
/BD_113	/BD_112	a-orient
/BD_113	/R_15	a-meridie
/BD_113	/E_119	a-circio
/BD_113	/BD_114	a-occident
/BD_114	/BD_113	a-orient
/BD_114	/R_15	a-meridie
/BD_114	/E_119	a-circio
/BD_114	/E_119	a-circio
/BD_114	/BD_115	a-occident
/BD_114	/BND_836	a-occident
/BD_115	/BD_114	a-orient
/BD_115	/E_119	a-circio
/BD_115	/BND_836	a-meridie
/BD_115	/R_14	a-occident
/BD_116	/R_15	a-circio
/BD_116	/BD_83	a-occident
/BD_116	/BD_90	a-meridie
/BD_116	/BD_117	a-orient
/BD_117	/R_15	in
/BD_117	/R_15	a-circio
/BD_117	/BND_837	a-orient
/BD_117	/BD_90	a-meridie
/BD_117	/BD_123	a-meridie
/BD_117	/BD_122	a-meridie
/BD_117	/BD_116	a-occident
/BD_117	/BD_83	a-occident
/BD_118	/R_74	juxta
/BD_118	/BND_837	a-occident
/BD_118	/R_8	a-orient
/BD_118	/BD_119	a-meridie
/BD_119	/BD_118	a-circio
/BD_119	/BND_837	a-occident
/BD_119	/R_8	a-orient
/BD_119	/BD_120	a-meridie
/BD_12	/BD_12	a-orient
/BD_12	/R_54	a-occident
/BD_12	/BD_11	a-circio
/BD_12	/BD_13	a-meridie
